record_num,year,date,month,day,month_name,latitude,longitude,weather_disturbance,barangay,location,flood_depth_text,remarks,flood_depth_cm,flood_severity,flood,is_typhoon,is_itcz,is_sw_monsoon,is_ne_monsoon,is_easterlies,is_thunderstorm,is_lpa,precipitation,temperature,humidity,wind_speed,wind_direction,temp_max,temp_min,nearest_station,distance_to_nearest_km,temp_range,station_key,station_lat,station_lon,elevation,is_monsoon_season,precip_3day_sum,precip_7day_sum,precip_3day_avg,precip_7day_avg,precip_max_3day,precip_max_7day,precip_lag1,precip_lag2,rain_streak,humidity_3day_avg,humidity_lag1,temp_humidity_interaction,humidity_precip_interaction,temp_precip_interaction,monsoon_precip_interaction,saturation_risk,heat_index,barangay_clean,barangay_encoded
1.0,2022,2022-03-14,3,14,MARCH,14.47513822,121.0011419,Localized Thunderstorms,DIONISIO,INTERSECTION BOUNDARY OF CRUZ,LEVEL,TYPE OF VEHICLE,48,2,1,1,0,0,0,0,1,0,58.37269956279324,29.056424524628326,79.90954409079107,1.973520206336548,240.5508264109286,33.44053664843025,24.672312400826396,naia,3.310004162070957,,,,,,,76.0,76.05000000000001,25.333333333333332,10.864285714285716,63.5,63.5,0.0,12.5,1,77.0,75.0,23.218856366715304,326.33735442756125,118.66162942586558,,0,30.10414951723959,dionisio,2
2.0,2022,2022-03-14,3,14,MARCH,14.47041838,121.0106894,Localized Thunderstorms,SAN ISIDRO,COMPOUND AND PUROK 5 SAN LUCAS ST.,LEVEL,PASSABLE TO ANY TYPE OF VEHICLE PASSABLE TO ANY,20,1,1,1,0,0,0,0,1,0,57.25407617858591,29.048091224894826,79.89581360079042,1.9656810324848402,240.06147483320532,33.42749984438573,24.66868260540392,naia,3.865182724404755,,,,,,,76.0,76.05000000000001,25.333333333333332,10.864285714285716,63.5,63.5,0.0,12.5,1,77.0,75.0,23.208208819629526,324.76162704385365,118.07508983952323,,0,30.094624369182725,san isidro,8
3.0,2022,2022-03-14,3,14,MARCH,14.46696852,121.0027307,Localized Thunderstorms,SAN ISIDRO,VALLEY 6 BANANA,LEVEL,TYPE OF VEHICLE NOT PASSABLE TO,48,2,1,1,0,0,0,0,1,0,56.43366480246791,29.040690255912537,79.87914743845513,1.9621970054516413,240.37217889499016,33.41800845918352,24.66337205264155,naia,4.201183321868799,,,,,,,76.0,76.05000000000001,25.333333333333332,10.864285714285716,63.5,63.5,0.0,12.5,1,77.0,75.0,23.19745578666545,323.56092101064246,117.63310935720195,,0,30.08604813128568,san isidro,8
4.0,2022,2022-03-14,3,14,MARCH,14.50945879,121.0041835,Localized Thunderstorms,VITALEZ,COMPOUND SAN ANTONIO,LEVEL,LIGHT VEHICLE,20,1,1,1,0,0,0,0,1,0,63.245573140385844,29.097743511465854,79.9950295123993,1.9988515158357725,240.07625175540093,33.497054420967316,24.69843260196439,naia,0.5326681453100429,,,,,,,76.0,76.05000000000001,25.333333333333332,10.864285714285716,63.5,63.5,0.0,12.5,1,77.0,75.0,23.27674850943936,332.99633495656553,121.12554997335732,,0,30.15183252210287,vitalez,12
5.0,2022,2022-03-14,3,14,MARCH,14.46485244,121.0198098,Localized Thunderstorms,ANTONIO,AVE. INTERSECTION DASA FOURTH,LEVEL,SUBSIDED PASSABLE TO ANY,20,1,1,1,0,0,0,0,1,0,55.38372980792689,29.034001638007876,79.87205670588195,1.952848424331526,239.32442835563103,33.40571069260679,24.66229258340896,naia,4.718136613623353,,,,,,,76.0,76.05000000000001,25.333333333333332,10.864285714285716,63.5,63.5,0.0,12.5,1,77.0,75.0,23.190054252296346,322.0585605909129,117.07033925723893,,0,30.078505504684472,antonio,0
6.0,2022,2022-03-14,3,14,MARCH,14.46104908,121.0274713,Localized Thunderstorms,ANTONIO,ESTATE BANNAER ST.,LEVEL,TYPE OF VEHICLE,20,1,1,1,0,0,0,0,1,0,53.79118863072708,29.02237055085533,79.85369975293614,1.941279194061521,238.50689146242172,33.38713806729225,24.65760303441842,naia,5.435291927711147,,,,,,,76.0,76.05000000000001,25.333333333333332,10.864285714285716,63.5,63.5,0.0,12.5,1,77.0,75.0,23.17543664086457,319.6966338304162,116.1919134566623,,0,30.065231988378653,antonio,0
7.0,2022,2022-03-14,3,14,MARCH,14.46202658,121.03229,Localized Thunderstorms,ANTONIO,FOURTH ESTATE LOWER,LEVEL,PASSABLE TO ANY TYPE OF VEHICLE NOT PASSABLE TO,48,2,1,1,0,0,0,0,1,0,53.35261465571946,29.01954978043648,79.85060056513444,1.937421294754273,238.08316595641918,33.38200255728904,24.657097003583914,naia,5.595193438278827,,,,,,,76.0,76.05000000000001,25.333333333333332,10.864285714285716,63.5,63.5,0.0,12.5,1,77.0,75.0,23.172284780976682,319.0424932576805,115.9473998897937,,0,30.062048217680868,antonio,0
8.0,2022,2022-03-14,3,14,MARCH,14.46949357,121.0240365,Localized Thunderstorms,,SAN PEDRO,,PASSABLE TO ANY,20,1,1,1,0,0,0,0,1,0,55.927388905980514,29.038703544306298,79.88206493195521,1.9555129291599498,239.2236927762326,33.412011301802266,24.66539578681033,naia,4.431292112361122,,,,,,,76.0,76.05000000000001,25.333333333333332,10.864285714285716,63.5,63.5,0.0,12.5,1,77.0,75.0,23.196716020660737,322.865458957877,117.36795180946388,,0,30.083938927515746,unknown,11
9.0,2022,2022-03-14,3,14,MARCH,14.46947702,121.0069346,Localized Thunderstorms,SAN ISIDRO,STREET,LEVEL,TYPE OF VEHICLE NOT PASSABLE TO,94,3,1,1,0,0,0,0,1,0,57.100707178756835,29.046514228724085,79.89170827154035,1.9653696304110233,240.22003098463605,33.425736006970695,24.667292450477472,naia,3.9236655259384188,,,,,,,76.0,76.05000000000001,25.333333333333332,10.864285714285716,63.5,63.5,0.0,12.5,1,77.0,75.0,23.205756410663707,324.5343265836953,117.99210629948075,,0,30.092782478686715,san isidro,8
10.0,2022,2022-05-15,5,15,MAY,14.49993154,121.0092085,Localized Thunderstorms,STO NIÑO,LIBJO AREA ILANG ILANG,LEVEL,LIGHT VEHICLE PASSABLE TO ANY,20,1,1,1,0,0,0,0,1,0,59.35909528450296,29.943922716143856,83.98058737502515,1.9937909407455632,109.91814309771166,35.681940497484995,24.205904934802717,naia,0.715127051973438,,,,,,,64.0,64.00000000000001,21.333333333333332,9.142857142857144,59.5,59.5,0.0,4.5,1,74.33333333333333,73.0,25.147082180141197,344.34658037847635,122.77941501380725,,0,31.186696991439458,sto niño,9
11.0,2022,2022-05-15,5,15,MAY,14.46070373,121.0385847,Localized Thunderstorms,GREEN,UPS 4 CHAMPACA,LEVEL,TYPE OF VEHICLE,20,1,1,1,0,0,0,0,1,0,55.64275257654513,29.75640710759912,83.61637373887386,1.8118573042543018,108.93610254082103,35.14175619638157,24.371058018816665,naia,6.099318750898142,,,,,,,64.0,64.00000000000001,21.333333333333332,9.142857142857144,59.5,59.5,0.0,4.5,1,74.33333333333333,73.0,24.881228578350907,337.53957116216907,120.11959434873717,,0,30.97091979931852,green,4
12.0,2022,2022-05-15,5,15,MAY,14.46299503,121.0375216,Localized Thunderstorms,GREEN,EXTENSION UPS 4,LEVEL,PASSABLE TO ANY TYPE OF VEHICLE PASSABLE TO ANY,20,1,1,1,0,0,0,0,1,0,55.81698256941128,29.765982035833083,83.62919443905695,1.8209098033742597,108.94826316491972,35.16891969443312,24.363044377233038,naia,5.826910894042108,,,,,,,64.0,64.00000000000001,21.333333333333332,9.142857142857144,59.5,59.5,0.0,4.5,1,74.33333333333333,73.0,24.893050993441612,337.84816929131466,120.2496640726672,,0,30.98178698310288,green,4
13.0,2022,2022-05-15,5,15,MAY,14.48930241,121.0310212,Localized Thunderstorms,SUN VALLEY,ANNEX 41,LEVEL,TYPE OF VEHICLE PASSABLE TO ANY,20,1,1,1,0,0,0,0,1,0,57.5534096660809,29.856651186469147,83.78279198390747,1.9079548366057077,109.2750958865418,35.42847992888409,24.2848224440542,naia,3.3059931966677056,,,,,,,64.0,64.00000000000001,21.333333333333332,9.142857142857144,59.5,59.5,0.0,4.5,1,74.33333333333333,73.0,25.01473595692029,340.99087972497614,121.51475873078265,,0,31.08553365136253,sun valley,10
14.0,2022,2022-05-15,5,15,MAY,14.49255767,121.0112135,Localized Thunderstorms,MOONWALK,DAANG BATANG SCARLET,LEVEL HALF,TYPE OF VEHICLE,20,1,1,1,0,0,0,0,1,0,58.960513710466046,29.926198450315447,83.92856878274539,1.9758713098457505,109.70964202800403,35.62960417276218,24.222792727868708,naia,1.518868902730208,,,,,,,64.0,64.00000000000001,21.333333333333332,9.142857142857144,59.5,59.5,0.0,4.5,1,74.33333333333333,73.0,25.116630050433884,343.5772272318066,122.50846683402524,,0,31.165842035785342,moonwalk,7
15.0,2022,2022-05-15,5,15,MAY,14.49583651,121.0134215,Localized Thunderstorms,MOONWALK,STREET SAINT PAUL,LEVEL HALF,PASSABLE TO ANY TYPE OF VEHICLE,48,2,1,1,0,0,0,0,1,0,59.049326574321306,29.93006472618138,83.94061066825876,1.9798087562543298,109.7596920734855,35.641070983260924,24.21905846910183,naia,1.3574252986338793,,,,,,,64.0,64.00000000000001,21.333333333333332,9.142857142857144,59.5,59.5,0.0,4.5,1,74.33333333333333,73.0,25.12347910456176,343.7507628680119,122.56859344250998,,0,31.170409366248496,moonwalk,7
16.0,2022,2022-05-15,5,15,MAY,14.49482893,121.015504,Localized Thunderstorms,MOONWALK,ILOG,LEVEL,PASSABLE TO ANY TYPE OF VEHICLE PASSABLE TO ANY,94,3,1,1,0,0,0,0,1,0,58.90190841875404,29.92327181389257,83.9226601979955,1.9730225821507301,109.69284106023188,35.621157011340955,24.225386616444183,naia,1.5952368001092279,,,,,,,64.0,64.00000000000001,21.333333333333332,9.142857142857144,59.5,59.5,0.0,4.5,1,74.33333333333333,73.0,25.112405724495623,343.4709733796453,122.46722485170783,,0,31.162468456007257,moonwalk,7
17.0,2022,2022-05-15,5,15,MAY,14.50267121,121.0125305,Localized Thunderstorms,MOONWALK,KENKO AREA 1,LEVEL,TYPE OF VEHICLE PASSABLE TO ANY,20,1,1,1,0,0,0,0,1,0,59.2884177560582,29.940794687286484,83.97128251089406,1.9906233178945676,109.88052777015865,35.6726949967813,24.208894377791665,naia,0.8673252387813739,,,,,,,64.0,64.00000000000001,21.333333333333332,9.142857142857144,59.5,59.5,0.0,4.5,1,74.33333333333333,73.0,25.14166929286809,344.2100436861511,122.73150938205471,,0,31.18301319935514,moonwalk,7
18.0,2022,2022-06-08,6,8,JUNE,14.47069805,121.040021,Localized Thunderstorms,GREEN,CREEKVILLE,LEVEL,TYPE OF VEHICLE PASSABLE TO ANY,20,1,1,1,0,0,0,0,1,0,37.618270220329514,29.37097455302621,78.44397114164407,1.936405676396019,259.26494561533735,32.533254058427744,26.208695047624673,naia,5.358453455973986,,,,,,,60.5,63.55000000000001,20.166666666666668,9.078571428571431,45.0,45.0,15.5,0.0,2,76.0,76.0,23.039758802395504,286.61273660363474,107.31347828067298,,0,30.411886810360645,green,4
19.0,2022,2022-06-08,6,8,JUNE,14.46858824,121.0435637,Localized Thunderstorms,GREEN,HAPPY HOMES,LEVEL,TYPE OF VEHICLE PASSABLE TO ANY,20,1,1,1,0,0,0,0,1,0,36.8801370714677,29.367025267673544,78.39672988232832,1.928805207010008,257.8218426746827,32.52655775542656,26.20749277992054,naia,5.795183614833975,,,,,,,60.5,63.55000000000001,20.166666666666668,9.078571428571431,45.0,45.0,15.5,0.0,2,76.0,76.0,23.022787473573132,284.9271829279818,106.73230622058412,,0,30.406309074701692,green,4
